ID,Virus name,Accession ID,Collection date,Location,Country,Country_color,Region,Clado,Linaje,Linaje__color,LATITUDE,LONGITUDE,YEAR,MONTH,DAY
hCoV-19/Ecuador/GENSBIO-INSPI-104488/2023|EPI,hCoV-19/Venezuela/Dtto2565/2023,EPI_ISL_18494946,2023-07-07,South America / Venezuela / Dtt Capital,Venezuela,#efcfff,Dtt Capital,GRA,XBB.1.5.77,#005ed5,"7,04838","-65,9099",2023,7,7
hCoV-19/Colombia/DC-LSPSDS-31530/2023|EPI,hCoV-19/Ecuador/GENSBIO-INSPI-104380/2023,EPI_ISL_18519595,2023-10-08,South America / Ecuador / Pichincha,Ecuador,#f2da77,Pichincha,GRA,XBB.1.5.20,#005ed5,"-1,57412","-78,27664",2023,10,8
hCoV-19/Aruba/AW-RIVM-130905/2023|EPI,hCoV-19/Ecuador/GENSBIO-INSPI-1812-7112/2023,EPI_ISL_18519613,2023-10-13,South America / Ecuador / Pichincha,Ecuador,#f2da77,Pichincha,GRA,EG.5.1.1,#c955cb,"-1,57412","-78,27664",2023,10,13
hCoV-19/Colombia/SAN-INS-VG-30346/2023|EPI,hCoV-19/Ecuador/GENSBIO-INSPI-104488/2023,EPI_ISL_18548335,2023-11-10,South America / Ecuador / Pichincha,Ecuador,#f2da77,Pichincha,GRA,HV.1,#bb1631,"-1,57412","-78,27664",2023,11,10
hCoV-19/Venezuela/Dtto2551/2023|EPI,hCoV-19/Peru/LIM-INS-47142/2023,EPI_ISL_18572592,2023-10-30,South America / Peru / Lima,Peru,#7cd88e,Lima,GRA,HV.1,#bb1631,"-9,14905","-75,05739",2023,10,30
hCoV-19/Venezuela/Dtto2565/2023|EPI,hCoV-19/Ecuador/GENSBIO-INSPI-104544/2023,EPI_ISL_18572918,2023-11-22,South America / Ecuador / Pichincha,Ecuador,#f2da77,Pichincha,GRA,HV.1,#bb1631,"-1,57412","-78,27664",2023,11,22
hCoV-19/Colombia/DC-INS-VG-30910/2023|EPI,hCoV-19/Colombia/VAC-INS-VG-31154/2023,EPI_ISL_18721247,2023-10-29,South America / Colombia / Valle del Cauca,Colombia,#ff8b9e,Valle del Cauca,GRA,EG.5.1.3,#c955cb,"4,598022","-74,075889",2023,10,29
hCoV-19/Colombia/DC-INS-VG-30332/2023|EPI,hCoV-19/Colombia/VAC-INS-VG-31155/2023,EPI_ISL_18721248,2023-11-23,South America / Colombia / Valle del Cauca,Colombia,#ff8b9e,Valle del Cauca,GRA,EG.5.1.3,#c955cb,"4,598022","-74,075889",2023,11,23
hCoV-19/Colombia/DC-INS-VG-30509/2023|EPI,hCoV-19/Colombia/VAC-INS-VG-31156/2023,EPI_ISL_18721249,2023-11-23,South America / Colombia / Valle del Cauca,Colombia,#ff8b9e,Valle del Cauca,GRA,EG.5.1,#c955cb,"4,598022","-74,075889",2023,11,23
hCoV-19/Colombia/DC-INS-VG-30451/2023|EPI,hCoV-19/Peru/CAL-INS-47601/2023,EPI_ISL_18751099,2023-12-18,South America / Peru / Callao,Peru,#7cd88e,Callao,GRA,XBB,#56589d,"-9,14905","-75,05739",2023,12,18
hCoV-19/Colombia/DC-INS-VG-30495/2023|EPI,,,,,,,,,,,,,,,
